Date,Close,High,Low,Open,Volume
2017-05-22 12:30:00,1.52,1.5299,1.51,1.52,4280.0
2017-05-22 12:35:00,1.5001,1.52,1.5,1.52,19576.0
2017-05-22 12:40:00,1.51,1.52,1.4999,1.5199,20967.0
2017-05-22 12:45:00,1.51,1.51,1.5,1.51,14292.0
2017-05-22 12:50:00,1.51,1.51,1.506,1.51,3300.0
2017-05-22 12:55:00,1.52,1.52,1.5069,1.51,16552.0
2017-05-22 13:00:00,1.52,1.52,1.51,1.52,15369.0
2017-05-22 13:05:00,1.51,1.52,1.5099,1.512,34339.0
2017-05-22 13:10:00,1.5061,1.51,1.5,1.5002,28559.0
2017-05-22 13:15:00,1.51,1.51,1.5,1.51,15600.0
2017-05-22 13:20:00,1.51,1.51,1.51,1.51,1900.0
2017-05-22 13:25:00,1.5,1.51,1.5,1.51,21837.0
2017-05-22 13:30:00,1.5,1.51,1.49,1.51,45467.0
2017-05-22 13:35:00,1.4913,1.5,1.49,1.4915,20590.0
2017-05-22 13:40:00,1.47,1.49,1.46,1.49,85565.0
2017-05-22 13:45:00,1.48,1.48,1.4603,1.47,9900.0
2017-05-22 13:50:00,1.4736,1.4799,1.47,1.4747,24933.0
2017-05-22 13:55:00,1.4784,1.4893,1.46,1.4703,21845.0
2017-05-22 14:00:00,1.4782,1.48,1.47,1.4799,9275.0
2017-05-22 14:05:00,1.48,1.48,1.47,1.4797,9980.0
2017-05-22 14:10:00,1.475,1.48,1.4747,1.475,2250.0
2017-05-22 14:15:00,1.4794,1.48,1.4794,1.48,4000.0
2017-05-22 14:20:00,1.48,1.485,1.47,1.48,28264.0
2017-05-22 14:25:00,1.4723,1.4884,1.4723,1.4823,12509.0
2017-05-22 14:30:00,1.47,1.475,1.47,1.475,6637.0
2017-05-22 14:35:00,1.47,1.495,1.44,1.47,87364.0
2017-05-22 14:40:00,1.47,1.47,1.465,1.47,1000.0
2017-05-22 14:45:00,1.49,1.49,1.4663,1.4667,17073.0
2017-05-22 14:50:00,1.4897,1.5,1.48,1.48,23872.0
2017-05-22 14:55:00,1.4797,1.489,1.47,1.489,18329.0
2017-05-22 15:00:00,1.48,1.48,1.4797,1.4799,2302.0
2017-05-22 15:05:00,1.4799,1.48,1.4799,1.48,823.0
2017-05-22 15:10:00,1.47,1.48,1.47,1.47,6059.0
2017-05-22 15:15:00,1.49,1.49,1.47,1.47,40086.0
2017-05-22 15:20:00,1.49,1.505,1.48,1.4899,36839.0
2017-05-22 15:25:00,1.4774,1.49,1.4774,1.49,9600.0
2017-05-22 15:30:00,1.4776,1.48,1.47,1.475,10999.0
2017-05-22 15:35:00,1.474,1.48,1.47,1.4747,10132.0
2017-05-22 15:40:00,1.48,1.48,1.4716,1.4716,11618.0
2017-05-22 15:45:00,1.4899,1.49,1.48,1.48,18038.0
2017-05-22 15:50:00,1.49,1.49,1.48,1.48,15542.0
2017-05-22 15:55:00,1.503,1.51,1.49,1.49,71078.0
2017-05-22 16:00:00,1.525,1.55,1.4997,1.509,123393.0
2017-05-22 16:05:00,1.51,1.52,1.51,1.52,3600.0
